ID,Value,Comment,Syntactic_Role,Particle
dados-09-kereramake-p-037-151,n,,,
dados-09-kereramake-p-037-152,n,,,
dados-09-kereramake-p-037-153,n,,,
dados-09-kereramake-p-037-155,n,,,
dados-09-kereramake-p-037-157,n,,,
dados-09-kereramake-p-037-158,n,,,
dados-09-kereramake-p-037-159,n,,,
dados-09-kereramake-p-037-160,n,,,
dados-09-kereramake-p-037-162,n,,,
dados-09-kereramake-p-037-163,n,,,
dados-09-kereramake-p-037-164,n,,,
dados-09-kereramake-p-037-165,n,,,
dados-09-kereramake-p-037-167,n,,,
dados-09-kereramake-p-037-168,n,,,
dados-09-kereramake-p-037-169,n,,,
dados-09-kereramake-p-037-170,n,,,
dados-09-kereramake-p-037-171,n,,,
dados-09-kereramake-p-037-172,n,,,
dados-09-kereramake-p-037-175,n,,,
dados-09-kereramake-p-037-176,n,,,
dados-09-kereramake-p-037-178,n,,,
dados-09-kereramake-p-037-180,n,,,
dados-09-kereramake-p-037-181,n,,,
dados-09-kereramake-p-037-182,n,,,
dados-09-kereramake-p-037-183,n,,,
dados-09-kereramake-p-037-184,n,,,
dados-09-kereramake-p-037-185,n,,,
dados-09-kereramake-p-037-186,n,,,
dados-09-kereramake-p-037-188,n,,,
dados-09-kereramake-p-039-194,n,,,
dados-09-kereramake-p-039-197,n,,,
dados-09-kereramake-p-039-201,n,,,
dados-09-kereramake-p-039-202,n,,,
dados-09-kereramake-p-039-205,n,,,
dados-09-kereramake-p-039-206,n,,,
dados-09-kereramake-p-039-212,n,,,
dados-09-kereramake-p-039-213,n,,,
dados-09-kereramake-p-039-216,n,,,
dados-09-kereramake-p-039-220,n,,,
dados-09-kereramake-p-039-223,n,,,
dados-09-kereramake-p-041-226,n,,,
dados-09-kereramake-p-041-228,n,,,
dados-09-kereramake-p-041-230,n,,,
dados-09-kereramake-p-041-233,n,,,
dados-09-kereramake-p-041-235,n,,,
dados-09-kereramake-p-041-237,n,,,
dados-09-kereramake-p-041-239,n,,,
dados-09-kereramake-p-041-240,n,,,
dados-09-kereramake-p-041-242,n,,,
dados-09-kereramake-p-041-245,n,,,
dados-09-kereramake-p-041-246,n,,,
dados-09-kereramake-p-041-248,n,,,
dados-09-kereramake-p-041-250,n,,,
dados-09-kereramake-p-041-253,n,,,
dados-09-kereramake-p-041-254,n,,,
dados-09-kereramake-p-041-257,n,,,
dados-09-kereramake-p-041-262,n,,,
dados-09-kereramake-p-041-264,n,,,
dados-09-kereramake-p-041-269,np,Is the second clause NVP?,,
dados-09-kereramake-p-041-270,np_arg,"*tuna mono juuwë*, N N POSTP!",,
dados-09-kereramake-p-041-271,n,,,
dados-09-kereramake-p-043-272,n,,,
dados-09-kereramake-p-043-274,n,,,
dados-09-kereramake-p-043-275,n,,,
dados-09-kereramake-p-043-276,n,,,
dados-09-kereramake-p-043-277,n,,,
dados-09-kereramake-p-043-278,y,[*mëërë*] V [tamutupë],s,
dados-09-kereramake-p-043-279,n,,,
dados-09-kereramake-p-043-280,n,,,
dados-09-kereramake-p-043-281,n,,,
dados-09-kereramake-p-043-282,n,,,
dados-09-kereramake-p-043-283,n,,,
dados-09-kereramake-p-043-285,n,,,
dados-09-kereramake-p-043-286,n,,,
dados-09-kereramake-p-043-288,n,,,
dados-09-kereramake-p-043-290,n,,,
dados-09-kereramake-p-043-291,n,,,
dados-09-kereramake-p-043-292,n,,,
dados-09-kereramake-p-043-293,n,,,
dados-09-kereramake-p-043-294,n,,,
dados-09-kereramake-p-043-296,n,,,
dados-09-kereramake-p-043-303,n,,,
dados-09-kereramake-p-043-307,n,,,
dados-09-kereramake-p-045-315,n,,,
dados-09-kereramake-p-045-316,n,,,
dados-09-kereramake-p-045-317,n,,,
dados-09-kereramake-p-045-320,n,,,
dados-09-kereramake-p-045-322,n,,,
dados-09-kereramake-p-045-323,posp,[mëërë *ja*] [kaike *ja*],a,
dados-09-kereramake-p-045-324,np,,,
dados-09-kereramake-p-045-325,n,,,
dados-09-kereramake-p-045-326,n,,,
dados-09-kereramake-p-045-327,n,,,
dados-09-kereramake-p-045-331,n,,,
dados-09-kereramake-p-045-334,n,,,
dados-09-kereramake-p-045-337,n,,,
dados-09-kereramake-p-045-339,n,,,
dados-09-kereramake-p-045-342,n,,,
dados-09-kereramake-p-045-343,n,,,
dados-09-kereramake-p-045-346,n,,,
dados-01-juliana3-p-005-005,n,,,
dados-07-frog-story-marciano-p-091-052,n,,,
dados-07-frog-story-marciano-p-091-054,n,,,
dados-07-frog-story-marciano-p-091-074,n,,,
dados-07-frog-story-marciano-p-093-089,n,,,
dados-07-frog-story-marciano-p-093-091,n,,,
dados-07-frog-story-marciano-p-093-093,n,,,
dados-07-frog-story-marciano-p-093-096,part,[*mëesamo inëërë*] [*përëru ton*],s,inëërë
dados-07-frog-story-marciano-p-093-098,n,,,
dados-09-kereramake-p-033-095,n,,,
dados-09-kereramake-p-033-103,n,,,
dados-09-kereramake-p-035-123,n,,,
dados-09-kereramake-p-035-129,n,,,
dados-09-kereramake-p-035-130,n,,,
dados-09-kereramake-p-035-132,n,,,
dados-09-kereramake-p-037-154,n,,,
dados-09-kereramake-p-037-174,n,,,
dados-09-kereramake-p-037-177,n,,,
dados-09-kereramake-p-039-189,n,,,
dados-09-kereramake-p-039-195,n,,,
dados-09-kereramake-p-041-227,n,,,
dados-09-kereramake-p-041-232,n,,,
dados-09-kereramake-p-041-258,n,,,
dados-09-kereramake-p-033-084,n,,,
dados-09-kereramake-p-033-085,n,,,
dados-09-kereramake-p-033-093,n,,,
dados-09-kereramake-p-035-146,n,,,
dados-09-kereramake-p-035-150,n,,,
dados-09-kereramake-p-037-179,part,[*nërë rë*] [*tamutupë*],?,rë
dados-09-kereramake-p-039-190,n,,,
dados-09-kereramake-p-039-210,n,,,
dados-09-kereramake-p-041-234,n,,,
dados-09-kereramake-p-041-243,n,,,
dados-09-kereramake-p-041-259,n,,,
dados-09-kereramake-p-041-263,n,,,
dados-09-kereramake-p-041-266,n,,,
dados-09-kereramake-p-041-267,n,,,
dados-09-kereramake-p-041-268,n,,,
dados-09-kereramake-p-043-284,n,,,
dados-09-kereramake-p-043-295,n,,,
dados-09-kereramake-p-043-298,n,,,
dados-09-kereramake-p-043-304,np,,,
dados-09-kereramake-p-045-314,n,,,
dados-09-kereramake-p-045-328,n,,,
dados-09-kereramake-p-045-335,n,,,
dados-09-kereramake-p-045-344,n,,,
dados-09-kereramake-p-045-347,n,,,
dados-09-kereramake-p-045-348,n,,,
dados-09-kereramake-p-047-350,n,,,
dados-09-kereramake-p-047-351,n,,,
dados-09-kereramake-p-047-353,n,,,
dados-09-kereramake-p-047-354,np,,,
dados-09-kereramake-p-047-355,n,,,
dados-09-kereramake-p-047-356,n,,,
dados-09-kereramake-p-047-359,n,,,
dados-09-kereramake-p-041-252,n,,,
dados-09-kereramake-p-047-362,n,,,
dados-09-kereramake-p-047-363,?,Maybe disfluent?,,
dados-09-kereramake-p-047-365,n,,,
dados-09-kereramake-p-047-366,n,,,
dados-09-kereramake-p-047-367,n,,,
dados-09-kereramake-p-047-368,n,,,
dados-09-kereramake-p-047-369,n,,,
dados-09-kereramake-p-047-374,n,Good illustration of the importance of commas.,,
dados-09-kereramake-p-047-375,n,,,
dados-09-kereramake-p-047-378,n,,,
dados-09-kereramake-p-047-379,n,,,
dados-09-kereramake-p-047-381,n,,,
dados-09-kereramake-p-047-382,n,,,
dados-09-kereramake-p-047-383,n,,,
dados-09-kereramake-p-049-384,n,,,
dados-09-kereramake-p-049-386,n,,,
dados-09-kereramake-p-049-387,n,Another good illustration of the importance of commas -- the two distinct clauses have none in between.,,
dados-09-kereramake-p-049-390,n,,,
dados-09-kereramake-p-049-392,y,[*tarïpi*] *se manan* [*mëërë*],obl,
dados-09-kereramake-p-049-394,n,,,
dados-09-kereramake-p-049-395,n,,,
dados-09-kereramake-p-049-396,n,,,
dados-09-kereramake-p-049-397,n,,,
dados-09-kereramake-p-049-398,n,,,
dados-09-kereramake-p-049-399,n,,,
dados-09-kereramake-p-049-400,n,,,
dados-09-kereramake-p-049-401,n,,,
dados-09-kereramake-p-049-402,n,,,
dados-09-kereramake-p-049-403,n,,,
dados-09-kereramake-p-049-404,n,,,
dados-09-kereramake-p-049-405,n,,,
dados-09-kereramake-p-049-406,n,,,
dados-09-kereramake-p-049-407,n,,,
dados-09-kereramake-p-049-408,n,,,
dados-09-kereramake-p-049-409,n,,,
dados-09-kereramake-p-049-410,n,,,
dados-09-kereramake-p-049-411,n,,,
dados-09-kereramake-p-049-413,n,,,
dados-09-kereramake-p-049-414,n,,,
dados-09-kereramake-p-049-415,part,[*mëe marë*] [*inmukuhpë*] -- part of speech?,obl?,marë
dados-09-kereramake-p-049-416,n,,,
dados-09-kereramake-p-049-417,n,,,
dados-09-kereramake-p-049-418,n,,,
dados-09-kereramake-p-049-419,n,,,
dados-09-kereramake-p-051-420,n,,,
dados-09-kereramake-p-051-421,n,,,
dados-09-kereramake-p-051-422,n,,,
dados-09-kereramake-p-051-423,n,,,
dados-09-kereramake-p-051-431,n,,,
dados-09-kereramake-p-051-432,n,,,
dados-09-kereramake-p-051-433,n,,,
dados-09-kereramake-p-051-436,n,,,
dados-09-kereramake-p-051-437,n,,,
dados-09-kereramake-p-051-438,n,,,
dados-09-kereramake-p-051-440,n,,,
dados-09-kereramake-p-051-441,n,,,
dados-09-kereramake-p-051-442,np,,,
dados-09-kereramake-p-051-443,np,,,
dados-09-kereramake-p-051-444,n,,,
dados-09-kereramake-p-051-446,n,,,
dados-09-kereramake-p-051-448,n,,,
dados-09-kereramake-p-051-449,n,,,
dados-09-kereramake-p-051-450,n,,,
dados-09-kereramake-p-051-453,n,,,
dados-09-kereramake-p-051-454,n,,,
dados-09-kereramake-p-053-455,?,Inflected postposition *i-juuwë* and *mërë*? We don’t know what *mërë* refers to...,,
dados-09-kereramake-p-053-457,n,,,
dados-09-kereramake-p-053-458,n,,,
dados-09-kereramake-p-053-459,n,,,
dados-09-kereramake-p-053-460,n,,,
dados-09-kereramake-p-053-461,n,,,
dados-09-kereramake-p-053-462,n,,,
dados-09-kereramake-p-053-463,n,,,
dados-09-kereramake-p-053-464,n,,,
dados-09-kereramake-p-053-466,n,,,
dados-09-kereramake-p-053-468,n,,,
dados-09-kereramake-p-053-470,n,,,
dados-09-kereramake-p-053-473,n,,,
dados-09-kereramake-p-053-474,n,,,
dados-09-kereramake-p-053-475,n,,,
dados-09-kereramake-p-053-477,n,,,
dados-09-kereramake-p-053-478,n,,,
dados-09-kereramake-p-053-479,n,,,
dados-09-kereramake-p-053-480,n,,,
dados-09-simehtu-iwehtoponpe-p-027-002,n,,,
dados-09-simehtu-iwehtoponpe-p-027-003,n,,,
dados-09-simehtu-iwehtoponpe-p-027-006,n,,,
dados-09-simehtu-iwehtoponpe-p-027-008,n,,,
dados-09-simehtu-iwehtoponpe-p-027-009,n,,,
dados-09-simehtu-iwehtoponpe-p-027-011,n,,,
dados-09-simehtu-iwehtoponpe-p-027-012,n,,,
dados-09-simehtu-iwehtoponpe-p-027-014,n,,,
dados-09-simehtu-iwehtoponpe-p-027-016,n,,,
dados-09-simehtu-iwehtoponpe-p-027-018,n,,,
dados-09-simehtu-iwehtoponpe-p-027-022,n,,,
dados-09-simehtu-iwehtoponpe-p-027-023,n,,,
dados-09-simehtu-iwehtoponpe-p-027-024,n,,,
dados-09-simehtu-iwehtoponpe-p-027-025,n,,,
dados-09-simehtu-iwehtoponpe-p-027-027,n,,,
dados-09-simehtu-iwehtoponpe-p-027-028,n,,,
dados-09-simehtu-iwehtoponpe-p-027-032,n,,,
dados-09-simehtu-iwehtoponpe-p-027-033,n,,,
dados-09-simehtu-iwehtoponpe-p-027-034,n,,,
dados-09-simehtu-iwehtoponpe-p-027-036,n,,,
dados-09-simehtu-iwehtoponpe-p-027-037,n,,,
dados-09-simehtu-iwehtoponpe-p-027-039,n,,,
