Example_ID,Value,Comment,Pattern,Positions,Animacy,Role,Particle,Constituents
conv1stenc-78,y,,Nmod N Vt Nmod,"6,7,9",hum,p,,
conv1stenc-79,y,,DEM n N POSTP,"4,5",hum,obl,,
conv1stenc-80,n,,,,,,,
conv1stenc-81,n,,,,,,,
conv1stenc-91,n,,,,,,,
conv1stenc-92,n,,,,,,,
conv1stenc-93,n,,,,,,,
conv1stenc-95,n,,,,,,,
conv1stenc-99,n,,,,,,,
conv1stenc-114,X,"ambiguous, leaving out",,,,,,
conv1stenc-116,n,,,,,,,
conv1stenc-119,n,,,,,,,
conv1stenc-120,n,,,,,,,
conv1stenc-128,y,DEM likely modifying whole NP,DEM N,"1,2",inan,possr,,
conv1stenc-132,y,,ADV N,"1,2",inan,possr,,
conv1stenc-142,n,,,,,,,
conv1stenc-145,n,,,,,,,
conv1stenc-146,n,,,,,,,
ctowaru-2,n,,,,,,,
ctowaru-3,n,,,,,,,
ctowaru-4,y,,N Nmod,"4,5",hum,possr,,
ctowaru-5,y,,DEM N,"4,5",anim,p,,
ctowaru-6,n,,,,,,,
ctowaru-7,n,,,,,,,
ctowaru-8,y,,DEM ERG N ERG,"9,11",hum,a,,
ctowaru-10,n,,,,,,,
ctowaru-19,n,afterthought,,,,,,
ctowaru-22,y,,DEM N ERG,"10,11",hum,a,,
ctowaru-23,n,,,,,,,
ctowaru-30,n,,,,,,,
ctowaru-31,y,,DEM PART PART PART N,"1,5",hum,?,neke; ne; ti,
ctowaru-32,n,,,,,,,
ctowaru-36,y,afterthought,N POSTP N POSTP,"7,9",hum,obl,,
ctowaru-40,y,,DEM N ERG,"1,2",hum,a,,
ctowaru-49,y,,N DEM,"4,5",hum,s_nvp,,
ctowaru-53,y,,DEM N POSTP,"2,3",inan,obl,,
ctowaru-55,n,,,,,,,
ctowaru-58,y,,Nmod N,"3,4",hum,nvp,,
ctowaru-61,n,,,,,,,
ctowaru-68,n,,,,,,,
ctowaru-77,np,,DEM N,"6,7",inan,p,,
ctowaru-77,n,,,,,,,
ctowaru-82,n,,,,,,,
ctowaru-83,y,,N DEM,"9,10",inan,p,,
ctorosq-1,n,,,,,,,
ctorosq-4,y,,N DEM,"1,2",anim,?,,
ctorosq-6,y,,Nmod N POSTP,"3,4",hum,obl,,
ctorosq-7,y,,DEM N,"7,8",hum,p,,
ctorosq-9,y,,DEM N,"1,2",hum,a,,
ctorosq-17,n,,,,,,,
ctorosq-20,?,what is *kërë*,,,,,,
ctorosq-21,y,,DEM N,"4,5",hum,s,,
ctorosq-33,y,,DEM N ERG,"6,7",hum,a,,
ctorosq-35,y,,DEM N,"3,4",hum,s_nvp,,
ctorosq-36,y,,DEM N,"1,2",hum,?,,
ctorosq-37,n,,,,,,,
ctorosq-39,y,,DEM N,"1,2",inan,?,,
ctorosq-40,n,,,,,,,
ctorosq-41,n,,,,,,,
ctorosq-43,n,,,,,,,
ctorosq-44,n,,,,,,,
ctorosq-45,n,,,,,,,
ctorosq-47,n,,,,,,,
ctorosq-51,n,,,,,,,
ctorosq-52,n,,,,,,,
ctorosq-54,y,,N DEM,"4,5",inan,s_nvp,,
ctorosq-55,y,,N DEM,"11,12",inan,s_nvp,,
ctorosq-61,y,,DEM N,"4,5",hum,p,,
ctorosq-62,y,,DEM N,"12,13",hum,a,,
ctorosq-65,y,,DEM N,"1,2",anim,?,,
ctorosq-66,y,,DEM N n,"1,2",hum,possr,,
ctorosq-67,n,,,,,,,
ctorosq-69,y,,DEM N,"2,3",anim,s_nvp,,
ctorosq-70,n,,,,,,,
ctorosq-71,n,possessive construction,,,,,,
ctorosq-73,y,,N DEM,"1,2",anim,?,,
ctorosq-78,n,,,,,,,
ctorosq-84,y,,DEM N,"1,2",hum,?,,
ctorosq-89,n,,,,,,,
ctorosq-94,n,,,,,,,
ctorosq-98,n,,,,,,,
ctorosq-100,n,,,,,,,
ctorosq-104,n,,,,,,,
ctorosq-116,y,,N Nmod,"3,4",inan,s_nvp,,
ctorosq-131,n,,,,,,,
ctorosq-132,n,,,,,,,
ctorosq-133,n,,,,,,,
ctorosq-134,n,,,,,,,
ctorosq-135,?,what?,,,,,,
ctorosq-138,n,,,,,,,
ctorosq-141,n,,,,,,,
ctorat-16,y,,DEM N,"2,3",anim,s,,
ctorat-21,y,,DEM N ERG,"4,5",hum,a,,
ctorat-25,n,,,,,,,
ctorat-31,y,,N DEM,"3,4",hum,a,,
ctorat-34,y,,DEM N,"2,3",inan,s_nvp,,
ctorat-35,n,,,,,,,
ctorat-38,y,,N Nmod POSTP,"1,2",inan,obl,,
ctorat-42,y,,DEM N POSTP,"1,2",inan,obl,,
ctorat-43,n,,,,,,,
histgrme-29,np,modifying numeral ‘both of your hands’,NUM N,"3,4",inan,?,,
histaccigrme-30,n,predicative numeral,,,,,,
conv1stenc-52,n,predicative numeral,,,,,,
ctorosq-32,n,referential numeral,,,,,,
histgrme-26,np,modifying numeral ‘with one hand’,NUM pro N,"1,3",inan,?,,
histgrme-27,np,modifying numeral ‘with one hand’,pro N NUM,"2,3",inan,?,,
histgrme-28,n,numeral with meaning ‘only’,,,,,,
desccasagrme-58,np,,NUM N,"1,2",hum,nvp,,
desccasagrme-69,n,numeral with meaning ‘only’,,,,,,
conv1stenc-126,n,numeral with meaning ‘only’,,,,,,
conv1stenc-150,n,numeral with meaning ‘only’,,,,,,
ctowaru-35,np,,NUM N,"1,2",hum,s,,
ctowaru-50,np,,N NUM,"1,2",hum,nvp,,
ctorat-3,np,,NUM N,"1,2",hum,s,,
desccasagrme-59,?,predicative numeral?,,,,,,
