ID,Genre
tl-piyai-ma,story
ra-kone-o-story,story
ra-eagle-story,story
r-personal-narrative,personal-story
tl-birdman-story,story
cc-praising-rhymes,description
ps-duck-story,story
ra-personal-narrative,personal-story
ae-personal-narrative,personal-story
ra-piya-ma-story,story
lester-eugene-personal-narrative,personal-story
pingkas-personal-narrative,personal-story
tl-makanaimo,story
claudine-bagot-personal-narrative,personal-story
tl-turtle-story,story
